460,162.962962962963
464,162.962962962963
752,143.5185185185185
756,143.5185185185185
1048,182.40740740740742
1052,182.40740740740742
1328,157.40740740740742
1332,157.40740740740742
1632,124.07407407407408
1636,124.07407407407408
1908,107.4074074074074
1912,107.4074074074074
2216,146.29629629629628
2220,146.29629629629628
2500,157.40740740740742
2504,157.40740740740742
2800,146.29629629629628
2804,146.29629629629628
3092,146.29629629629628
3096,146.29629629629628
3408,146.29629629629628
3412,146.29629629629628
3416,146.29629629629628
3664,146.29629629629628
3668,146.29629629629628
3956,157.40740740740742
3960,157.40740740740742
4248,157.40740740740742
4252,157.40740740740742
4548,149.07407407407408
4552,149.07407407407408
4556,149.07407407407408
4836,201.85185185185188
4840,201.85185185185188
4844,201.85185185185188
5128,240.74074074074073
5132,240.74074074074073
5408,187.96296296296296
5412,187.96296296296296
5416,187.96296296296296
5724,46.29629629629629
5728,46.29629629629629
